certification ,genre ,appellation ,mention ,lieu,couleur,cepage,libelle complet
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Chasselas,AOC Alsace blanc Chasselas
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Sylvaner,AOC Alsace blanc Sylvaner
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Auxerrois,AOC Alsace blanc Auxerrois
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Pinot Blanc,AOC Alsace blanc Pinot Blanc
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Pinot,AOC Alsace blanc Pinot
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Assemblage,AOC Alsace blanc Assemblage
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Riesling,AOC Alsace blanc Riesling
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Pinot Gris,AOC Alsace blanc Pinot Gris
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Muscat,AOC Alsace blanc Muscat
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Muscat Ottonel,AOC Alsace blanc Muscat Ottonel
AOC,Tranquille,AOC Alsace blanc,,,Blanc,Gewurztraminer,AOC Alsace blanc Gewurztraminer
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Chasselas,AOC Alsace Lieu-dit Blanc Chasselas
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Sylvaner,AOC Alsace Lieu-dit Blanc Sylvaner
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Auxerrois,AOC Alsace Lieu-dit Blanc Auxerrois
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Pinot Blanc,AOC Alsace Lieu-dit Blanc Pinot Blanc
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Pinot,AOC Alsace Lieu-dit Blanc Pinot
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Assemblage,AOC Alsace Lieu-dit Blanc Assemblage
AOC,Tranquille,AOC Alsace Lieu-dit,,,Blanc,Riesling,AOC Alsace Lieu-dit Blanc Riesling
